ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(2001, 5)",0.09141686464071243,10,speech,Governor Laurence H. Meyer,UST,19,59,1 Mo,y_bl,0.006033508468701606
"(2001, 5)",0.09141686464071243,10,meeting minutes,,UST,19,66,1 Mo,y_probe,-0.02306459974943871
"(2001, 5)",0.09141686464071243,10,speech,Governor Laurence H. Meyer,UST,19,59,1 Mo,y_probe,-0.01895983568974627
"(2001, 6)",-0.02679074549809366,10,meeting minutes,,UST,19,78,1 Mo,y_bl,-0.014510849962932977
"(2001, 6)",-0.02679074549809366,10,speech,"Vice Chairman Roger W. Ferguson, Jr.",UST,19,52,1 Mo,y_bl,-0.014510849962932977
"(2001, 6)",-0.02679074549809366,10,meeting minutes,,UST,19,78,1 Mo,y_probe,-0.04500450682708873
"(2001, 6)",-0.02679074549809366,10,speech,"Vice Chairman Roger W. Ferguson, Jr.",UST,19,52,1 Mo,y_probe,0.028765067076184182
"(2001, 7)",-0.011383972104388462,10,speech,Governor Laurence H. Meyer,UST,19,259,1 Mo,y_bl,0.00370657901616831
"(2001, 7)",-0.011383972104388462,10,speech,Governor Laurence H. Meyer,UST,19,259,1 Mo,y_probe,-0.01685966499326028
"(2001, 8)",-0.47971069809737116,10,meeting minutes,,UST,19,52,1 Mo,y_bl,-0.021309897078052625
"(2001, 8)",-0.47971069809737116,10,meeting minutes,,UST,19,52,1 Mo,y_probe,-0.06425680676618077
"(2001, 10)",-0.4139903383912234,10,meeting minutes,,UST,19,56,1 Mo,y_bl,0.0672434259507563
"(2001, 10)",-0.4139903383912234,10,speech,Chairman Alan Greenspan,UST,19,25,1 Mo,y_bl,0.0672434259507563
"(2001, 10)",-0.4139903383912234,10,speech,Governor Laurence H. Meyer,UST,19,28,1 Mo,y_bl,0.0672434259507563
"(2001, 10)",-0.4139903383912234,10,meeting minutes,,UST,19,56,1 Mo,y_probe,-0.11192278841824875
"(2001, 10)",-0.4139903383912234,10,speech,Chairman Alan Greenspan,UST,19,25,1 Mo,y_probe,-0.012026284565580301
"(2001, 10)",-0.4139903383912234,10,speech,Governor Laurence H. Meyer,UST,19,28,1 Mo,y_probe,-0.05089679456499561
"(2001, 11)",-0.175437693376861,10,meeting minutes,,UST,19,49,1 Mo,y_bl,0.05130143819293035
"(2001, 11)",-0.175437693376861,10,speech,Governor Edward M. Gramlich,UST,19,59,1 Mo,y_bl,0.05130143819293035
"(2001, 11)",-0.175437693376861,10,meeting minutes,,UST,19,49,1 Mo,y_probe,-0.08928974802600333
"(2001, 11)",-0.175437693376861,10,speech,Governor Edward M. Gramlich,UST,19,59,1 Mo,y_probe,-0.010205544850367052
"(2001, 12)",-0.10244169005403923,10,meeting minutes,,UST,19,58,1 Mo,y_bl,-0.0298915745231189
"(2001, 12)",-0.10244169005403923,10,speech,Governor Laurence H. Meyer,UST,19,118,1 Mo,y_bl,-0.0298915745231189
"(2001, 12)",-0.10244169005403923,10,meeting minutes,,UST,19,58,1 Mo,y_probe,-0.07027590157998378
"(2001, 12)",-0.10244169005403923,10,speech,Governor Laurence H. Meyer,UST,19,118,1 Mo,y_probe,-0.015910707582565558
"(2002, 1)",-0.019658441584737174,10,meeting minutes,,UST,19,69,1 Mo,y_bl,0.01774225869854575
"(2002, 1)",-0.019658441584737174,10,meeting minutes,,UST,19,69,1 Mo,y_probe,-0.0587695391072608
"(2002, 3)",0.06269859421556309,10,meeting minutes,,UST,19,56,1 Mo,y_bl,-0.009183486215000303
"(2002, 3)",0.06269859421556309,10,meeting minutes,,UST,19,56,1 Mo,y_probe,-0.016932180639928
"(2002, 5)",-0.022347298691997253,10,meeting minutes,,UST,19,57,1 Mo,y_bl,-0.08082076540032825
"(2002, 5)",-0.022347298691997253,10,meeting minutes,,UST,19,57,1 Mo,y_probe,-0.010005251456240438
"(2002, 6)",-0.028655255760375864,10,meeting minutes,,UST,19,56,1 Mo,y_bl,-0.07246379269038107
"(2002, 6)",-0.028655255760375864,10,meeting minutes,,UST,19,56,1 Mo,y_probe,0.008025634179756071
"(2002, 8)",-0.02353049741019362,10,meeting minutes,,UST,19,55,1 Mo,y_bl,-0.09422383081157219
"(2002, 8)",-0.02353049741019362,10,meeting minutes,,UST,19,55,1 Mo,y_probe,-0.05173268327384876
"(2002, 9)",-1.2212453270876722e-15,10,meeting minutes,,UST,19,57,1 Mo,y_bl,-0.03852761445525929
"(2002, 9)",-1.2212453270876722e-15,10,meeting minutes,,UST,19,57,1 Mo,y_probe,-0.04094082847606856
"(2002, 10)",-0.012472812338981705,10,speech,Chairman Alan Greenspan,UST,19,47,1 Mo,y_bl,-0.021462789981792827
"(2002, 10)",-0.012472812338981705,10,speech,Governor Ben S. Bernanke,UST,19,107,1 Mo,y_bl,-0.021462789981792827
"(2002, 10)",-0.012472812338981705,10,speech,"Vice Chairman Roger W. Ferguson, Jr.",UST,19,55,1 Mo,y_bl,-0.021462789981792827
"(2002, 10)",-0.012472812338981705,10,speech,Chairman Alan Greenspan,UST,19,47,1 Mo,y_probe,-0.012652787031063675
"(2002, 10)",-0.012472812338981705,10,speech,Governor Ben S. Bernanke,UST,19,107,1 Mo,y_probe,-0.01058542866280088
"(2002, 10)",-0.012472812338981705,10,speech,"Vice Chairman Roger W. Ferguson, Jr.",UST,19,55,1 Mo,y_probe,-0.013224394181415872
"(2002, 11)",-0.2940404069722198,10,meeting minutes,,UST,19,55,1 Mo,y_bl,0.06630269393000755
"(2002, 11)",-0.2940404069722198,10,speech,Governor Donald L. Kohn,UST,19,29,1 Mo,y_bl,0.06630269393000755
"(2002, 11)",-0.2940404069722198,10,meeting minutes,,UST,19,55,1 Mo,y_probe,-0.061882062591296375
"(2002, 11)",-0.2940404069722198,10,speech,Governor Donald L. Kohn,UST,19,29,1 Mo,y_probe,-0.027155952848633723
"(2002, 12)",-0.024594651997599613,10,meeting minutes,,UST,19,50,1 Mo,y_bl,0.09357417987944566
"(2002, 12)",-0.024594651997599613,10,speech,Chairman Alan Greenspan,UST,19,70,1 Mo,y_bl,0.09357417987944566
"(2002, 12)",-0.024594651997599613,10,meeting minutes,,UST,19,50,1 Mo,y_probe,-0.04991603156667878
"(2002, 12)",-0.024594651997599613,10,speech,Chairman Alan Greenspan,UST,19,70,1 Mo,y_probe,-0.02339270613392205
"(2003, 1)",-0.02234729869199513,10,meeting minutes,,UST,19,48,1 Mo,y_bl,0.031727898237677625
"(2003, 1)",-0.02234729869199513,10,meeting minutes,,UST,19,48,1 Mo,y_probe,-0.02319983926430808
"(2003, 2)",-0.011422189562805102,10,speech,Governor Ben S. Bernanke,UST,19,147,1 Mo,y_bl,0.0060985571573782685
"(2003, 2)",-0.011422189562805102,10,speech,"Vice Chairman Roger W. Ferguson, Jr",UST,19,73,1 Mo,y_bl,0.0060985571573782685
"(2003, 2)",-0.011422189562805102,10,speech,Governor Ben S. Bernanke,UST,19,147,1 Mo,y_probe,-0.01084153415307055
"(2003, 2)",-0.011422189562805102,10,speech,"Vice Chairman Roger W. Ferguson, Jr",UST,19,73,1 Mo,y_probe,-0.01108832099305699
"(2003, 3)",0.022626069617972245,10,meeting minutes,,UST,19,48,1 Mo,y_bl,-0.014956709447116558
"(2003, 3)",0.022626069617972245,10,speech,Governor Ben S. Bernanke,UST,19,115,1 Mo,y_bl,-0.014956709447116558
"(2003, 3)",0.022626069617972245,10,speech,Governor Donald L. Kohn,UST,19,130,1 Mo,y_bl,-0.014956709447116558
"(2003, 3)",0.022626069617972245,10,meeting minutes,,UST,19,48,1 Mo,y_probe,-0.02200132432924676
"(2003, 3)",0.022626069617972245,10,speech,Governor Ben S. Bernanke,UST,19,115,1 Mo,y_probe,0.006964041638070485
"(2003, 3)",0.022626069617972245,10,speech,Governor Donald L. Kohn,UST,19,130,1 Mo,y_probe,0.02595825695913824
"(2003, 5)",-0.07499957487698972,10,meeting minutes,,UST,19,60,1 Mo,y_bl,0.0036607026723287387
