ym,y,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(2003, 1)",0.004390786417490133,speech,Governor Edward M. Gramlich,CPI,6,69,,y_bl,0.00284191578014415
"(2003, 1)",0.004390786417490133,meeting minutes,,CPI,6,48,,y_probe,0.0023523129646635037
"(2003, 1)",0.004390786417490133,speech,Governor Edward M. Gramlich,CPI,6,69,,y_probe,0.0026644760688202865
"(2003, 2)",0.005461510025521754,speech,Governor Ben S. Bernanke,CPI,6,147,,y_bl,0.0031586372413442646
"(2003, 2)",0.005461510025521754,speech,"Vice Chairman Roger W. Ferguson, Jr",CPI,6,73,,y_bl,0.0031586372413442646
"(2003, 2)",0.005461510025521754,speech,Governor Ben S. Bernanke,CPI,6,147,,y_probe,0.0029832883283416795
"(2003, 2)",0.005461510025521754,speech,"Vice Chairman Roger W. Ferguson, Jr",CPI,6,73,,y_probe,0.0027105448534492406
"(2003, 3)",0.0016326534238855217,meeting minutes,,CPI,6,48,,y_bl,0.0034371304760855135
"(2003, 3)",0.0016326534238855217,speech,Governor Ben S. Bernanke,CPI,6,115,,y_bl,0.0034371304760855135
"(2003, 3)",0.0016326534238855217,speech,Governor Donald L. Kohn,CPI,6,130,,y_bl,0.0034371304760855135
"(2003, 3)",0.0016326534238855217,meeting minutes,,CPI,6,48,,y_probe,0.0021909982314266686
"(2003, 3)",0.0016326534238855217,speech,Governor Ben S. Bernanke,CPI,6,115,,y_probe,0.002692830668431961
"(2003, 3)",0.0016326534238855217,speech,Governor Donald L. Kohn,CPI,6,130,,y_probe,0.0027460454829680864
"(2003, 5)",-0.005452576213455629,meeting minutes,,CPI,6,60,,y_bl,0.002117600070403674
"(2003, 5)",-0.005452576213455629,speech,Governor Ben S. Bernanke,CPI,6,85,,y_bl,0.002117600070403674
"(2003, 5)",-0.005452576213455629,speech,Governor Mark W. Olson,CPI,6,46,,y_bl,0.002117600070403674
"(2003, 5)",-0.005452576213455629,meeting minutes,,CPI,6,60,,y_probe,0.002131840573739364
"(2003, 5)",-0.005452576213455629,speech,Governor Ben S. Bernanke,CPI,6,85,,y_probe,0.0018084678517733168
"(2003, 5)",-0.005452576213455629,speech,Governor Mark W. Olson,CPI,6,46,,y_probe,0.0023435740610631027
"(2003, 6)",0.0010928962836445066,meeting minutes,,CPI,6,65,,y_bl,-0.0005209734312720467
"(2003, 6)",0.0010928962836445066,meeting minutes,,CPI,6,65,,y_probe,0.002209952273465
"(2003, 7)",0.003271540540615625,speech,Governor Ben S. Bernanke,CPI,6,156,,y_bl,0.002470697036284107
"(2003, 7)",0.003271540540615625,speech,Governor Ben S. Bernanke,CPI,6,156,,y_probe,0.0028260271141535014
"(2003, 8)",0.0043454712595014655,meeting minutes,,CPI,6,55,,y_bl,0.002769633377618275
"(2003, 8)",0.0043454712595014655,speech,Chairman Alan Greenspan,CPI,6,16,,y_bl,0.002769633377618275
"(2003, 8)",0.0043454712595014655,meeting minutes,,CPI,6,55,,y_probe,0.0023325421941542248
"(2003, 8)",0.0043454712595014655,speech,Chairman Alan Greenspan,CPI,6,16,,y_probe,0.002551934131445932
"(2003, 9)",0.0032467560988704847,meeting minutes,,CPI,6,55,,y_bl,0.004586101723836134
"(2003, 9)",0.0032467560988704847,speech,Governor Donald L. Kohn,CPI,6,103,,y_bl,0.004586101723836134
"(2003, 9)",0.0032467560988704847,meeting minutes,,CPI,6,55,,y_probe,0.002412289044318302
"(2003, 9)",0.0032467560988704847,speech,Governor Donald L. Kohn,CPI,6,103,,y_probe,0.002765386222208658
"(2003, 10)",-0.0010810811863732894,meeting minutes,,CPI,6,52,,y_bl,0.001768341152742259
"(2003, 10)",-0.0010810811863732894,speech,Governor Ben S. Bernanke,CPI,6,100,,y_bl,0.001768341152742259
"(2003, 10)",-0.0010810811863732894,speech,Governor Edward M. Gramlich,CPI,6,59,,y_bl,0.001768341152742259
"(2003, 10)",-0.0010810811863732894,meeting minutes,,CPI,6,52,,y_probe,0.002278339294488623
"(2003, 10)",-0.0010810811863732894,speech,Governor Ben S. Bernanke,CPI,6,100,,y_probe,0.002133278987753839
"(2003, 10)",-0.0010810811863732894,speech,Governor Edward M. Gramlich,CPI,6,59,,y_probe,0.0025362236402563503
